punto_wms,nombre_referencia
2002,COLEGIO AGUSTIN FERNANDEZ (IED)
2004,COLEGIO TECNICO ALDEMAR ROJAS PLAZAS (IED)
2011,COLEGIO AQUILEO PARRA (IED)
2024,COLEGIO CHUNIZA FAMACO (IED)
2066,COLEGIO FILARMONICO JORGE MARIO BERGOGLIO (IED)
2080,COLEGIO LA PALESTINA (IED) - CENT EDUC DIST CENTRO DE ESTUDIOS DEL NIÑO
2091,COLEGIO MANUEL CEPEDA VARGAS (IED)
2100,COLEGIO NACIONAL NICOLAS ESGUERRA (IED)
2103,COLEGIO NUEVA ZELANDIA (IED)
2145,COLEGIO TECNICO TOMAS RUEDA VARGAS (IED)
2156,COLEGIO REPUBLICA DE COLOMBIA (IED)
2157,COLEGIO SANTA LIBRADA (IED)
2159,COLEGIO LA MERCED (IED)
2161,COLEGIO GERARDO PAREDES (IED)
2162,COLEGIO NUEVA CONSTITUCION (IED)
2164,COLEGIO EL ENSUEÑO (IED)
2165,COLEGIO LAS MARGARITAS (IED)
2166,COLEGIO LAS AMERICAS (IED)
2167,COLEGIO ATAHUALPA (IED)
2169,COLEGIO JORGE ISAACS (IED)
2170,COLEGIO NIDIA QUINTERO DE TURBAY (IED)
2171,COLEGIO SOLEDAD ACOSTA DE SAMPER (IED)
2172,COLEGIO TECNICO SAN CRISTOBAL SUR (IED)
2173,COLEGIO CARLOS ALBAN HOLGUIN (IED)
2174,COLEGIO ROGELIO SALMONA (IED)
2176,COLEGIO BICENTENARIO DE LA INDEPENDENCIA (IED)
2177,COLEGIO MARSELLA (IED)
2179,COLEGIO INSTITUTO TECNICO INDUSTRIAL PILOTO (IED)
2181,COLEGIO PROSPERO PINZON (IED)
2183,COLEGIO HERNANDO DURAN DUSSAN (IED)
2184,COLEGIO JOSE EUSTASIO RIVERA (IED)
2185,COLEGIO NUEVO CHILE (IED)
2186,COLEGIO TABORA (IED)
2187,COLEGIO JULIO GARAVITO ARMERO (IED)
2188,COLEGIO CARLOS ARANGO VELEZ (IED)
2189,COLEGIO GUSTAVO RESTREPO (IED) - CENT EDUC DIST JOSE ACEVEDO Y GOMEZ
2190,COLEGIO LA GIRALDA (IED)
2191,COLEGIO DIANA TURBAY (IED)
2193,COLEGIO DE LA BICI (IED)
2195,COLEGIO LA ESTRELLITA (IED)
2196,COLEGIO REPUBLICA DEL ECUADOR (IED)
2197,COLEGIO MIRAVALLE (IED)
2198,COLEGIO ANDRES BELLO (IED)
2199,COLEGIO RAFAEL URIBE URIBE (IED)
2200,COLEGIO RESTREPO MILLAN (IED)
2201,COLEGIO LAUREL DE CERA (IED)
2202,COLEGIO PARQUES DE BOGOTA (IED)
2203,COLEGIO EMMA REYES (IED)
2204,COLEGIO LAS MERCEDES (IED)
2206,COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED)
2207,COLEGIO MANUELA BELTRAN (IED)
2208,COLEGIO LA JOYA (IED)
2209,COLEGIO ANGELA RESTREPO MORENO (IED)
2210,COLEGIO EL NOGAL (IED)
2211,COLEGIO INTEGRADO DE FONTIBON IBEP (IED) EMMA VILLEGAS
2212,COLEGIO GLORIA VALENCIA DE CASTAÑO (IED)
2213,COLEGIO LAURA HERRERA DE VARELA (IED)
2214,COLEGIO ESMERALDA ARBOLEDA CADAVID (IED)
2215,COLEGIO CIUDADELA EL RECREO SONIA OSORIO DE SAINT-MALO (IED)
2216,COLEGIO ABEL RODRIGUEZ CESPEDES (IED)
2218,COLEGIO JUAN REY (IED)
2219,COLEGIO ARBORIZADORA ALTA (IED)
2220,COLEGIO SAN PEDRO CLAVER (IED)
2221,COLEGIO AGUDELO RESTREPO (IED)
2222,COLEGIO SAN IGNACIO (IED)
2224,COLEGIO LUCILA RUBIO DE LAVERDE (IED)
2225,COLEGIO SANTIAGO DE LAS ATALAYAS
2226,COLEGIO JAIME HERNANDO GARZON FORERO
2227,COLEGIO CIUDAD DE CHENGDU (IED)
2230,COLEGIO SAN JOSE DE USME (IED)
2231,COLEGIO ARGELIA (IED)
2233,COLEGIO TORQUIGUA 
2234,COLEGIO JAIME NIÑO DIEZ (IED) - LOMBARDÍA
2240,COLEGIO GUILLERMO LEON VALENCIA (IED)
2241,COLEGIO INTEGRADA LA CANDELARIA (IED)
2242,COLEGIO VILLEMAR EL CARMEN (IED) 3
2243,COLEGIO FELIZA BURSZTYN (IED)
2245,COLEGIO SAN FRANCISCO DE ASIS (IED)
2248,COLEGIO MARIA CURREA MANRIQUE (IED)
2249,COLEGIO REPUBLICA DE PANAMA (IED)
2251,COLEGIO MARIA JOSEFA CANELONES (IED)
2253,COLEGIO MARSELLA (IED) COLEGIO ELOISA GARZON-LA PAZ
