punto_wms,subzona_codigo
2001,SUMAPAZ_CELTA
2002,USAQUEN
2004,SAN_CRISTOBAL
2005,BOSA_NORTE
2006,BOSA_CENTRAL
2007,SUMAPAZ_CELTA
2008,CENTRO
2009,CB_ORIENTAL
2010,CENTRO
2011,USAQUEN
2012,ANTONIO_NARINO
2013,CENTRO
2014,KENNEDY_CENTRAL
2015,PUENTE_ARANDA
2016,TUNJUELITO
2017,CB_OCCIDENTAL
2018,SUMAPAZ_CELTA
2019,FONTIBON
2020,BOSA_NORTE
2021,CB_OCCIDENTAL
2022,ENG_OCCIDENTAL
2023,SUMAPAZ_CELTA
2024,USME_SUR
2025,USME_NORTE
2026,BOSA_OCCIDENTE
2027,RAFAEL_URIBE
2028,SUMAPAZ_CELTA
2029,USAQUEN
2030,PUENTE_ARANDA
2031,CB_OCCIDENTAL
2032,KENNEDY_CENTRAL
2033,BOSA_OCCIDENTE
2034,SUBA_ORIENTAL
2035,USAQUEN
2036,KENNEDY_SUR
2037,USME_SUR
2038,USME_SUR
2040,CB_OCCIDENTAL
2041,BOSA_OCCIDENTE
2042,SUMAPAZ_CELTA
2043,SUMAPAZ_CELTA
2044,SUMAPAZ_CELTA
2045,CB_ORIENTAL
2046,USME_NORTE
2047,BOSA_CENTRAL
2048,USME_NORTE
2049,KENNEDY_CENTRAL
2050,USAQUEN
2051,KENNEDY_SUR
2052,USME_SUR
2053,ENG_OCCIDENTAL
2054,SUBA_OCCIDENTAL
2055,BOSA_NORTE
2056,CB_ORIENTAL
2057,SUBA_ORIENTAL
2058,USME_SUR
2059,CB_ORIENTAL
2060,RAFAEL_URIBE
2061,KENNEDY_CENTRAL
2062,TUNJUELITO
2063,KENNEDY_CENTRAL
2064,KENNEDY_OCCIDENTE
2065,NORTE_CENTRAL
2066,SUBA_OCCIDENTAL
2067,CENTRO
2068,CB_OCCIDENTAL
2069,BOSA_NORTE
2070,CB_OCCIDENTAL
2071,CB_OCCIDENTAL
2072,RAFAEL_URIBE
2073,SAN_CRISTOBAL
2074,SUBA_ORIENTAL
2075,KENNEDY_CENTRAL
2076,BOSA_NORTE
2077,BOSA_CENTRAL
2078,CB_OCCIDENTAL
2079,FONTIBON
2080,ENG_ORIENTAL
2081,ENG_ORIENTAL
2082,SUMAPAZ_CELTA
2083,SUMAPAZ_CELTA
2084,SUMAPAZ_CELTA
2085,BOSA_NORTE
2086,SAN_CRISTOBAL
2087,BOSA_CENTRAL
2088,SUMAPAZ_CELTA
2089,BOSA_CENTRAL
2090,ENG_ORIENTAL
2091,KENNEDY_CENTRAL
2092,RAFAEL_URIBE
2093,RAFAEL_URIBE
2094,CB_OCCIDENTAL
2095,ANTONIO_NARINO
2096,USME_NORTE
2097,ENG_ORIENTAL
2098,SUMAPAZ_CELTA
2099,SUBA_OCCIDENTAL
2100,KENNEDY_CENTRAL
2101,SAN_CRISTOBAL
2102,SAN_CRISTOBAL
2103,SUBA_ORIENTAL
2104,KENNEDY_CENTRAL
2105,USME_SUR
2106,USME_NORTE
2107,BOSA_OCCIDENTE
2108,CENTRO
2109,USME_NORTE
2110,KENNEDY_OCCIDENTE
2111,SUMAPAZ_CELTA
2112,SUMAPAZ_CELTA
2113,BOSA_CENTRAL
2114,RAFAEL_URIBE
2115,NORTE_CENTRAL
2116,SUBA_ORIENTAL
2117,ENG_ORIENTAL
2118,RAFAEL_URIBE
2119,SUBA_ORIENTAL
2120,ENG_ORIENTAL
2121,KENNEDY_CENTRAL
2122,CB_ORIENTAL
2123,SUMAPAZ_CELTA
2124,USAQUEN
2125,KENNEDY_SUR
2126,SUMAPAZ_CELTA
2127,USME_NORTE
2128,KENNEDY_CENTRAL
2129,SUMAPAZ_CELTA
2130,SAN_CRISTOBAL
2131,SUMAPAZ_CELTA
2132,KENNEDY_CENTRAL
2133,SAN_CRISTOBAL
2134,RAFAEL_URIBE
2135,SUMAPAZ_CELTA
2136,CB_OCCIDENTAL
2137,SUMAPAZ_CELTA
2138,CB_OCCIDENTAL
2139,PUENTE_ARANDA
2140,NORTE_CENTRAL
2141,USAQUEN
2142,SUMAPAZ_CELTA
2143,NORTE_CENTRAL
2144,ENG_ORIENTAL
2145,SAN_CRISTOBAL
2146,SUMAPAZ_CELTA
2147,SUMAPAZ_CELTA
2148,SUMAPAZ_CELTA
2149,SUMAPAZ_CELTA
2150,USAQUEN
2151,USME_SUR
2152,SUBA_ORIENTAL
2153,TUNJUELITO
2154,FONTIBON
2155,SUBA_ORIENTAL
2156,ENG_ORIENTAL
2157,USME_NORTE
2158,BOSA_CENTRAL
2159,PUENTE_ARANDA
2160,CENTRO
2161,SUBA_OCCIDENTAL
2162,ENG_OCCIDENTAL
2163,TUNJUELITO
2164,CB_OCCIDENTAL
2165,KENNEDY_SUR
2166,KENNEDY_OCCIDENTE
2167,FONTIBON
2169,BOSA_NORTE
2170,ENG_ORIENTAL
2171,BOSA_CENTRAL
2172,SAN_CRISTOBAL
2173,BOSA_CENTRAL
2174,CB_OCCIDENTAL
2176,BOSA_CENTRAL
2177,KENNEDY_CENTRAL
2178,BOSA_CENTRAL
2179,TUNJUELITO
2180,BOSA_NORTE
2181,KENNEDY_CENTRAL
2182,CB_ORIENTAL
2183,KENNEDY_CENTRAL
2184,USME_NORTE
2185,BOSA_OCCIDENTE
2186,ENG_ORIENTAL
2187,PUENTE_ARANDA
2188,KENNEDY_CENTRAL
2189,RAFAEL_URIBE
2190,CENTRO
2191,RAFAEL_URIBE
2193,BOSA_OCCIDENTE
2194,KENNEDY_SUR
2195,USAQUEN
2196,SAN_CRISTOBAL
2197,USME_NORTE
2198,PUENTE_ARANDA
2199,TUNJUELITO
2200,RAFAEL_URIBE
2201,BOSA_NORTE
2202,BOSA_NORTE
2203,KENNEDY_OCCIDENTE
2204,ENG_OCCIDENTAL
2206,ENG_OCCIDENTAL
2207,CENTRO
2208,CB_OCCIDENTAL
2209,CB_OCCIDENTAL
2210,CB_OCCIDENTAL
2211,FONTIBON
2212,SAN_CRISTOBAL
2213,BOSA_NORTE
2214,BOSA_CENTRAL
2215,BOSA_NORTE
2216,ENG_ORIENTAL
2218,SAN_CRISTOBAL
2219,CB_ORIENTAL
2220,KENNEDY_OCCIDENTE
2221,CB_OCCIDENTAL
2222,BOSA_OCCIDENTE
2223,SUBA_OCCIDENTAL
2224,ENG_ORIENTAL
2225,BOSA_NORTE
2226,KENNEDY_CENTRAL
2227,USME_NORTE
2230,USME_SUR
2231,BOSA_CENTRAL
2233,ENG_ORIENTAL
